Position,Constructor,Points,Season,Era,Engine,IsChampion,NormalizedPoints
6,Toyota,13.0,2007,2001-2010,Toyota,0,6.372549019607843
7,STR Ferrari,8.0,2007,2001-2010,Ferrari,0,3.9215686274509802
8,Honda,6.0,2007,2001-2010,Honda,0,2.941176470588235
9,Super Aguri Honda,4.0,2007,2001-2010,Honda,0,1.9607843137254901
10,Spyker Ferrari,1.0,2007,2001-2010,Ferrari,0,0.49019607843137253
20,McLaren Mercedes,0.0,2007,2001-2010,Mercedes,0,0.0
1,Ferrari,172.0,2008,2001-2010,Ferrari,1,100.0
2,McLaren Mercedes,151.0,2008,2001-2010,Mercedes,0,87.79069767441861
3,Sauber BMW,135.0,2008,2001-2010,BMW,0,78.48837209302324
4,Renault,80.0,2008,2001-2010,Renault,0,46.51162790697674
5,Toyota,56.0,2008,2001-2010,Toyota,0,32.55813953488372
6,STR Ferrari,39.0,2008,2001-2010,Ferrari,0,22.674418604651162
7,Red Bull Renault,29.0,2008,2001-2010,Renault,0,16.86046511627907
8,Williams Toyota,26.0,2008,2001-2010,Toyota,0,15.11627906976744
9,Honda,14.0,2008,2001-2010,Honda,0,8.13953488372093
10,Force India Ferrari,0.0,2008,2001-2010,Ferrari,0,0.0
11,Super Aguri Honda,0.0,2008,2001-2010,Honda,0,0.0
1,Brawn Mercedes,172.0,2009,2001-2010,Mercedes,1,100.0
2,RBR Renault,153.0,2009,2001-2010,Renault,0,88.95348837209302
3,McLaren Mercedes,71.0,2009,2001-2010,Mercedes,0,41.27906976744186
4,Ferrari,70.0,2009,2001-2010,Ferrari,0,40.69767441860465
5,Toyota,59.0,2009,2001-2010,Toyota,0,34.30232558139535
6,Sauber BMW,36.0,2009,2001-2010,BMW,0,20.930232558139537
7,Williams Toyota,34.0,2009,2001-2010,Toyota,0,19.767441860465116
8,Renault,26.0,2009,2001-2010,Renault,0,15.11627906976744
9,Force India Mercedes,13.0,2009,2001-2010,Mercedes,0,7.55813953488372
10,STR Ferrari,8.0,2009,2001-2010,Ferrari,0,4.651162790697675
1,RBR Renault,498.0,2010,2001-2010,Renault,1,100.0
2,McLaren Mercedes,454.0,2010,2001-2010,Mercedes,0,91.16465863453816
3,Ferrari,396.0,2010,2001-2010,Ferrari,0,79.51807228915662
4,Mercedes,214.0,2010,2001-2010,Mercedes,0,42.971887550200805
5,Renault,163.0,2010,2001-2010,Renault,0,32.730923694779115
6,Williams Cosworth,69.0,2010,2001-2010,Cosworth,0,13.855421686746988
7,Force India Mercedes,68.0,2010,2001-2010,Mercedes,0,13.654618473895583
8,Sauber Ferrari,44.0,2010,2001-2010,Ferrari,0,8.835341365461847
9,STR Ferrari,13.0,2010,2001-2010,Ferrari,0,2.610441767068273
10,Lotus Cosworth,0.0,2010,2001-2010,Cosworth,0,0.0
11,HRT Cosworth,0.0,2010,2001-2010,Cosworth,0,0.0
12,Virgin Cosworth,0.0,2010,2001-2010,Cosworth,0,0.0
1,Red Bull Racing Renault,650.0,2011,2011-2020,Renault,1,100.0
2,McLaren Mercedes,497.0,2011,2011-2020,Mercedes,0,76.46153846153845
3,Ferrari,375.0,2011,2011-2020,Ferrari,0,57.692307692307686
4,Mercedes,165.0,2011,2011-2020,Mercedes,0,25.384615384615383
5,Renault,73.0,2011,2011-2020,Renault,0,11.23076923076923
6,Force India Mercedes,69.0,2011,2011-2020,Mercedes,0,10.615384615384615
7,Sauber Ferrari,44.0,2011,2011-2020,Ferrari,0,6.769230769230769
8,STR Ferrari,41.0,2011,2011-2020,Ferrari,0,6.3076923076923075
9,Williams Cosworth,5.0,2011,2011-2020,Cosworth,0,0.7692307692307693
10,Lotus Renault,0.0,2011,2011-2020,Renault,0,0.0
11,HRT Cosworth,0.0,2011,2011-2020,Cosworth,0,0.0
12,Virgin Cosworth,0.0,2011,2011-2020,Cosworth,0,0.0
1,Red Bull Racing Renault,460.0,2012,2011-2020,Renault,1,100.0
2,Ferrari,400.0,2012,2011-2020,Ferrari,0,86.95652173913044
3,McLaren Mercedes,378.0,2012,2011-2020,Mercedes,0,82.17391304347827
4,Lotus Renault,303.0,2012,2011-2020,Renault,0,65.8695652173913
5,Mercedes,142.0,2012,2011-2020,Mercedes,0,30.869565217391305
6,Sauber Ferrari,126.0,2012,2011-2020,Ferrari,0,27.391304347826086
7,Force India Mercedes,109.0,2012,2011-2020,Mercedes,0,23.695652173913043
8,Williams Renault,76.0,2012,2011-2020,Renault,0,16.52173913043478
9,STR Ferrari,26.0,2012,2011-2020,Ferrari,0,5.6521739130434785
10,Caterham Renault,0.0,2012,2011-2020,Renault,0,0.0
11,Marussia Cosworth,0.0,2012,2011-2020,Cosworth,0,0.0
12,HRT Cosworth,0.0,2012,2011-2020,Cosworth,0,0.0
1,Red Bull Racing Renault,596.0,2013,2011-2020,Renault,1,100.0
2,Mercedes,360.0,2013,2011-2020,Mercedes,0,60.40268456375839
3,Ferrari,354.0,2013,2011-2020,Ferrari,0,59.395973154362416
4,Lotus Renault,315.0,2013,2011-2020,Renault,0,52.85234899328859
5,McLaren Mercedes,122.0,2013,2011-2020,Mercedes,0,20.469798657718123
6,Force India Mercedes,77.0,2013,2011-2020,Mercedes,0,12.919463087248323
7,Sauber Ferrari,57.0,2013,2011-2020,Ferrari,0,9.563758389261745
8,STR Ferrari,33.0,2013,2011-2020,Ferrari,0,5.5369127516778525
9,Williams Renault,5.0,2013,2011-2020,Renault,0,0.8389261744966443
10,Marussia Cosworth,0.0,2013,2011-2020,Cosworth,0,0.0
11,Caterham Renault,0.0,2013,2011-2020,Renault,0,0.0
1,Mercedes,701.0,2014,2011-2020,Mercedes,1,100.0
2,Red Bull Racing Renault,405.0,2014,2011-2020,Renault,0,57.77460770328102
3,Williams Mercedes,320.0,2014,2011-2020,Mercedes,0,45.6490727532097
4,Ferrari,216.0,2014,2011-2020,Ferrari,0,30.813124108416545
5,McLaren Mercedes,181.0,2014,2011-2020,Mercedes,0,25.82025677603424
6,Force India Mercedes,155.0,2014,2011-2020,Mercedes,0,22.111269614835948
7,STR Renault,30.0,2014,2011-2020,Renault,0,4.279600570613409
8,Lotus Renault,10.0,2014,2011-2020,Renault,0,1.4265335235378032
9,Marussia Ferrari,2.0,2014,2011-2020,Ferrari,0,0.28530670470756064
10,Sauber Ferrari,0.0,2014,2011-2020,Ferrari,0,0.0
11,Caterham Renault,0.0,2014,2011-2020,Renault,0,0.0
1,Mercedes,703.0,2015,2011-2020,Mercedes,1,100.0
2,Ferrari,428.0,2015,2011-2020,Ferrari,0,60.88193456614509
3,Williams Mercedes,257.0,2015,2011-2020,Mercedes,0,36.55761024182077
4,Red Bull Racing Renault,187.0,2015,2011-2020,Renault,0,26.600284495021338
5,Force India Mercedes,136.0,2015,2011-2020,Mercedes,0,19.34566145092461
6,Lotus Mercedes,78.0,2015,2011-2020,Mercedes,0,11.095305832147938
7,STR Renault,67.0,2015,2011-2020,Renault,0,9.53058321479374
8,Sauber Ferrari,36.0,2015,2011-2020,Ferrari,0,5.120910384068279
9,McLaren Honda,27.0,2015,2011-2020,Honda,0,3.8406827880512093
10,Marussia Ferrari,0.0,2015,2011-2020,Ferrari,0,0.0
1,Mercedes,765.0,2016,2011-2020,Mercedes,1,100.0
2,Red Bull Racing TAG Heuer,468.0,2016,2011-2020,Heuer,0,61.1764705882353
3,Ferrari,398.0,2016,2011-2020,Ferrari,0,52.02614379084968
4,Force India Mercedes,173.0,2016,2011-2020,Mercedes,0,22.61437908496732
5,Williams Mercedes,138.0,2016,2011-2020,Mercedes,0,18.03921568627451
6,McLaren Honda,76.0,2016,2011-2020,Honda,0,9.934640522875817
7,Toro Rosso Ferrari,63.0,2016,2011-2020,Ferrari,0,8.235294117647058
8,Haas Ferrari,29.0,2016,2011-2020,Ferrari,0,3.7908496732026142
9,Renault,8.0,2016,2011-2020,Renault,0,1.045751633986928
10,Sauber Ferrari,2.0,2016,2011-2020,Ferrari,0,0.261437908496732
11,MRT Mercedes,1.0,2016,2011-2020,Mercedes,0,0.130718954248366
1,Mercedes,668.0,2017,2011-2020,Mercedes,1,100.0
2,Ferrari,522.0,2017,2011-2020,Ferrari,0,78.1437125748503
3,Red Bull Racing TAG Heuer,368.0,2017,2011-2020,Heuer,0,55.08982035928144
4,Force India Mercedes,187.0,2017,2011-2020,Mercedes,0,27.994011976047904
5,Williams Mercedes,83.0,2017,2011-2020,Mercedes,0,12.425149700598801
6,Renault,57.0,2017,2011-2020,Renault,0,8.532934131736528
7,Toro Rosso,53.0,2017,2011-2020,Rosso,0,7.934131736526946
8,Haas Ferrari,47.0,2017,2011-2020,Ferrari,0,7.0359281437125745
9,McLaren Honda,30.0,2017,2011-2020,Honda,0,4.491017964071856
10,Sauber Ferrari,5.0,2017,2011-2020,Ferrari,0,0.7485029940119761
1,Mercedes,655.0,2018,2011-2020,Mercedes,1,100.0
2,Ferrari,571.0,2018,2011-2020,Ferrari,0,87.17557251908397
3,Red Bull Racing TAG Heuer,419.0,2018,2011-2020,Heuer,0,63.969465648854964
4,Renault,122.0,2018,2011-2020,Renault,0,18.62595419847328
5,Haas Ferrari,93.0,2018,2011-2020,Ferrari,0,14.198473282442748
6,McLaren Renault,62.0,2018,2011-2020,Renault,0,9.465648854961833
7,Force India Mercedes,52.0,2018,2011-2020,Mercedes,0,7.938931297709924
8,Sauber Ferrari,48.0,2018,2011-2020,Ferrari,0,7.328244274809161
9,Scuderia Toro Rosso Honda,33.0,2018,2011-2020,Honda,0,5.038167938931298
10,Williams Mercedes,7.0,2018,2011-2020,Mercedes,0,1.0687022900763359
20,Force India Sahara,0.0,2018,2011-2020,Sahara,0,0.0
1,Mercedes,739.0,2019,2011-2020,Mercedes,1,100.0
2,Ferrari,504.0,2019,2011-2020,Ferrari,0,68.20027063599458
3,Red Bull Racing Honda,417.0,2019,2011-2020,Honda,0,56.4276048714479
4,McLaren Renault,145.0,2019,2011-2020,Renault,0,19.621109607577807
5,Renault,91.0,2019,2011-2020,Renault,0,12.313937753721245
6,Scuderia Toro Rosso Honda,85.0,2019,2011-2020,Honda,0,11.502029769959405
7,Racing Point BWT Mercedes,73.0,2019,2011-2020,Mercedes,0,9.878213802435724
8,Alfa Romeo Racing Ferrari,57.0,2019,2011-2020,Ferrari,0,7.7131258457374825
9,Haas Ferrari,28.0,2019,2011-2020,Ferrari,0,3.7889039242219216
10,Williams Mercedes,1.0,2019,2011-2020,Mercedes,0,0.13531799729364005
1,Mercedes,264.0,2020,2011-2020,Mercedes,1,100.0
2,Red Bull Racing Honda,158.0,2020,2011-2020,Honda,0,59.84848484848485
3,McLaren Renault,68.0,2020,2011-2020,Renault,0,25.757575757575758
4,Racing Point BWT Mercedes,66.0,2020,2011-2020,Mercedes,0,25.0
5,Ferrari,61.0,2020,2011-2020,Ferrari,0,23.106060606060606
6,Renault,59.0,2020,2011-2020,Renault,0,22.348484848484848
7,AlphaTauri Honda,20.0,2020,2011-2020,Honda,0,7.575757575757576
8,Alfa Romeo Racing Ferrari,2.0,2020,2011-2020,Ferrari,0,0.7575757575757576
9,Haas Ferrari,1.0,2020,2011-2020,Ferrari,0,0.3787878787878788
10,Williams Mercedes,0.0,2020,2011-2020,Mercedes,0,0.0
